category,filename,hashtag,source,description,people,faces,females,alcohol_visible,words_on_image,proportion_females,labels
pro_prof,pp26.png,#JoseCuervoTequila,https://www.instagram.com/p/B4510CkIbEK/,Four glasses of mixed drinks are being held up for toasts over a table with snacks and a large bottle of Jose Cuervo Tequila,4,0,2.0,1,0,0.5,Jose Cuervo Tequila
pro_prof,pp27.png,#JoseCuervoTequila,https://www.instagram.com/p/B3K54-djILl/,A laughing woman is pouring Jose Cuervo Tequila into glasses being held up by two other people. She is also holding a glass herself.,3,2,1.0,1,0,0.333333333,Jose Cuervo Tequila
pro_prof,pp28.png,#JoseCuervoTequila,https://www.instagram.com/p/BdtHIRJFrZw/,A cocktail glass is standing on a table. Text on the image reads: “The Cuervo Margarita”,0,0,0.0,1,0,NA,Jose Cuervo Tequila
pro_prof,pp31.png,#JoseCuervoTequila,https://www.instagram.com/p/BcIbzXylPDm/,A woman is holding up a blow up dinosaur that is about the same size as her and pretends to kiss it. Behind her stands a large bottle of Jose Cuervo Tequila on the ground.,1,1,1.0,1,0,1.0,Jose Cuervo Tequila
pro_prof,pp32.png,#JoseCuervoTequila,https://www.instagram.com/p/BY9YoCRljAv/,"Two women are dancing on a rooftop. One is holding a big red plastic cup, the other a large bottle of Jose Cuervo Tequila.",4,1,3.0,1,0,0.75,Jose Cuervo Tequila
pro_prof,pp37.png,#Jägermeister,https://www.instagram.com/p/B8_wEqeKgaZ/,"Two women and a man look serious, posing for the camera. The two women are holding small bottles of Jägermeister.",3,3,2.0,1,0,0.666666667,Jägermeister
pro_prof,pp38.png,#Jägermeister,https://www.instagram.com/p/B652nvkqZhA/,The torso of a man is shown. He poses for the picture holding a small bottle of Jägermeister.,1,1,0.0,1,0,0.0,Jägermeister
pro_prof,pp39.png,#Jägermeister,https://www.instagram.com/p/B8wV0HvKyHn/,"A man holds a small shot glass up for the picture. In the blurred background, we see the man and two women, one of which holds up a large bottle of Jägermeister",3,3,2.0,1,0,0.666666667,Jägermeister
pro_prof,pp40.png,#Jägermeister,https://www.instagram.com/p/B5f2WNjqj62/,A woman and a man look at each other laughing and toast each other with two shot glasses. (Version 1),2,2,1.0,1,0,0.5,Jägermeister
pro_prof,pp41.png,#Jägermeister,https://www.instagram.com/p/B5N0rGtK_St/,Two women and two man are standing posting for the picture. A woman is holding a small bottle of Jägermeister to her mouth. A man is holding up a second bottle for the picture.,4,4,2.0,1,0,0.5,Jägermeister
pro_prof,pp42.png,#Jägermeister,https://www.instagram.com/p/B4kopCcKq9p/,"A woman is sitting on the shoulders of a man who is holding two shot glasses. She is pouring Jägermeister into the glasses from a a large bottle, smiling.",2,2,1.0,1,0,0.5,Jägermeister
pro_prof,pp43.png,#Jägermeister,https://www.instagram.com/p/B4fa0d_qX4C/,"A woman and a man are sitting on a bench outside surrounded by two other men who are only partially visible. They are smiling and toasting each other, each holding a small bottle of Jägermeister.",4,2,1.0,1,0,0.25,Jägermeister
pro_prof,pp44.png,#Jägermeister,https://www.instagram.com/p/B3kDCQ7I5IT/,"A woman is leaning against a man resting her head on his shoulder. They are both facing and posting for the camera. She is holding up a shot glass, which he pours Jägermeister into from a small bottle.",2,2,1.0,1,0,0.5,Jägermeister
pro_prof,pp45.png,#Jägermeister,https://www.instagram.com/p/B1eR0bcCnNh/,A man is sitting on the ground smiling and posing for the camera and holding up a large Jägermeister bottle. A woman and a second man stand beside him looking at him. The woman is holding up another Jägermeister bottle. (Version 1),3,3,1.0,1,0,0.333333333,Jägermeister
pro_prof,pp46.png,#SierraTequila,https://www.instagram.com/p/BntYhZVj_l2/,A large bottle of Sierra Tequila is standing on a table with a small sombrero as a bottle cap.,0,0,0.0,1,0,NA,Sierra Tequila
